Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,WIPRO,EQ,2522.4,2724,2724.2,2724,2724.2,2724.2,2724.17,1599,4.35594E+11,,,
04-01-2000,WIPRO,EQ,2724.2,2942.15,2942.15,2942.15,2942.15,2942.15,2942.15,4392,1.29219E+12,,,
05-01-2000,WIPRO,EQ,2942.15,2942.15,3177.55,2715,3000,2990.1,3063.86,132297,4.05339E+13,,,
06-01-2000,WIPRO,EQ,2990.1,3144.7,3183,2790,2915,2932.25,2962.41,72840,2.15782E+13,,,
07-01-2000,WIPRO,EQ,2932.25,2751,2751,2697.7,2697.7,2697.7,2697.95,10110,2.72763E+12,,,
10-01-2000,WIPRO,EQ,2697.7,2697.7,2913.5,2612,2665,2701.35,2740.88,40382,1.10682E+13,,,
11-01-2000,WIPRO,EQ,2701.35,2734,2789,2485.25,2485.25,2485.45,2543.38,46178,1.17448E+13,,,
12-01-2000,WIPRO,EQ,2485.45,2590,2608,2485,2570,2562.9,2543.75,20037,5.0969E+12,,,
13-01-2000,WIPRO,EQ,2562.9,2574,2620,2460,2484.9,2480.25,2539.63,19080,4.84562E+12,,,
14-01-2000,WIPRO,EQ,2480.25,2590,2590,2405,2475.15,2497.85,2470.43,20412,5.04265E+12,,,
17-01-2000,WIPRO,EQ,2497.85,2580,2697.7,2550,2697.7,2697.7,2671.72,27984,7.47655E+12,,,
18-01-2000,WIPRO,EQ,2697.7,2740,2850,2600,2690,2677.15,2688.05,32443,8.72083E+12,,,
19-01-2000,WIPRO,EQ,2677.15,2725,2848,2725,2780,2784.5,2801.9,33586,9.41045E+12,,,
20-01-2000,WIPRO,EQ,2784.5,2808,2834.95,2775,2785,2796.4,2801.6,21511,6.02651E+12,,,
21-01-2000,WIPRO,EQ,2796.4,2825,3020.15,2750,3020.15,2989.7,2931.46,145195,4.25633E+13,,,
24-01-2000,WIPRO,EQ,2989.7,3151,3228.9,3151,3228.9,3228.9,3228.71,20562,6.63887E+12,,,
25-01-2000,WIPRO,EQ,3228.9,3487.25,3487.25,3487.2,3487.25,3487.25,3487.24,34893,1.2168E+13,,,
27-01-2000,WIPRO,EQ,3487.25,3766.25,3766.25,3766.25,3766.25,3766.25,3766.25,1618,6.09379E+11,,,
28-01-2000,WIPRO,EQ,3766.25,4067.55,4067.55,4067.55,4067.55,4067.55,4067.55,3007,1.22311E+12,,,
31-01-2000,WIPRO,EQ,4067.55,4067.55,4240,3742.15,3900,3805,3884.97,73387,2.85106E+13,,,
01-02-2000,WIPRO,EQ,3805,3995,4109.4,3960,4109.4,4109.4,4095.33,49750,2.03743E+13,,,
02-02-2000,WIPRO,EQ,4109.4,4438.15,4438.15,4438.15,4438.15,4438.15,4438.15,2235,9.91927E+11,,,
03-02-2000,WIPRO,EQ,4438.15,4793.2,4793.2,4750,4793.2,4793.2,4792.18,8597,4.11984E+12,,,
04-02-2000,WIPRO,EQ,4793.2,5169,5176.7,5005,5176.7,5176.7,5124.37,57609,2.9521E+13,,,
07-02-2000,WIPRO,EQ,5176.7,5339,5494,5074,5150,5259.15,5317.52,42768,2.2742E+13,,,
08-02-2000,WIPRO,EQ,5259.15,5289,5400,4839,4850,4868.05,4950.21,37484,1.85554E+13,,,
09-02-2000,WIPRO,EQ,4868.05,5099,5257.5,5050,5200,5209.5,5185.1,38282,1.98496E+13,,,
10-02-2000,WIPRO,EQ,5209.5,5200,5626.3,5105,5626.3,5626.3,5440.17,76550,4.16445E+13,,,
11-02-2000,WIPRO,EQ,5626.3,6067,6076.4,5700,6076.4,6076.4,6019.01,62249,3.74678E+13,,,
14-02-2000,WIPRO,EQ,6076.4,6250,6562.55,6000,6562.55,6562.55,6476.74,67076,4.34434E+13,,,
15-02-2000,WIPRO,EQ,6562.55,6899,7087.55,6100,7087.55,7087.55,6978.68,56752,3.96054E+13,,,
16-02-2000,WIPRO,EQ,7087.55,7269,7654.55,7260,7654.55,7654.55,7634.56,24633,1.88062E+13,,,
17-02-2000,WIPRO,EQ,7654.55,8262.85,8266.95,8262.85,8266.95,8266.95,8266.95,14273,1.17994E+13,,,
18-02-2000,WIPRO,EQ,8266.95,8928.35,8928.35,8928.35,8928.35,8928.35,8928.35,9348,8.34622E+12,,,
21-02-2000,WIPRO,EQ,8928.35,9625,9642.65,8928.35,9640,9587.45,9607.14,181968,1.74819E+14,,,
22-02-2000,WIPRO,EQ,9587.45,10350,10350,8820.45,8820.45,8820.45,8931.54,49915,4.45818E+13,,,
23-02-2000,WIPRO,EQ,8820.45,8500,8500,8114.85,8114.85,8114.85,8128.15,9230,7.50228E+12,,,
24-02-2000,WIPRO,EQ,8114.85,7471,7471,7465.7,7465.7,7465.7,7466.09,3173,2.36899E+12,,,
25-02-2000,WIPRO,EQ,7465.7,6868.5,7100,6868.45,6868.45,6868.45,6945.22,85069,5.90823E+13,,,
28-02-2000,WIPRO,EQ,6868.45,6868.45,7190,6319,6930,6994.45,6865.64,154212,1.05876E+14,,,
29-02-2000,WIPRO,EQ,6994.45,7090,7400,6434.9,6800,6616.75,6954.86,137566,9.56753E+13,,,
01-03-2000,WIPRO,EQ,6616.75,7128,7146.1,6700,7146.1,7144.4,7081.26,125683,8.89994E+13,,,
02-03-2000,WIPRO,EQ,7144.4,7499,7700,7200,7339,7495.85,7490.24,180524,1.35217E+14,,,
03-03-2000,WIPRO,EQ,7495.85,7090,7100,6896.2,6896.2,6896.2,6926.4,42970,2.97627E+13,,,
06-03-2000,WIPRO,EQ,6896.2,6996,7369.45,6365,6970,6938.8,6897.2,76163,5.25312E+13,,,
07-03-2000,WIPRO,EQ,6938.8,6850,6900,6425,6500,6473.15,6567.05,65712,4.31534E+13,,,
08-03-2000,WIPRO,EQ,6473.15,6888.5,6991,6600,6773,6761.95,6895.14,38816,2.67642E+13,,,
09-03-2000,WIPRO,EQ,6761.95,6840,6999,6252.1,6369,6433.85,6512.81,21193,1.38026E+13,,,
10-03-2000,WIPRO,EQ,6433.85,6500,6945,6260,6345,6342.25,6556.29,44445,2.91394E+13,,,
13-03-2000,WIPRO,EQ,6342.25,6500,6725,5834.9,5834.9,5834.9,6168.18,32037,1.9761E+13,,,
14-03-2000,WIPRO,EQ,5834.9,5902,6000,5368.15,5368.15,5368.15,5410.42,31939,1.72804E+13,,,
15-03-2000,WIPRO,EQ,5368.15,4938.7,5100,4938.7,4938.7,4938.7,4944.05,86167,4.26014E+13,,,
16-03-2000,WIPRO,EQ,4938.7,4610,5100,4543.6,4610,4596.2,4742.4,159103,7.5453E+13,,,
21-03-2000,WIPRO,EQ,4596.2,4650,4849,4228.5,4228.5,4245,4522.02,123917,5.60356E+13,,,
22-03-2000,WIPRO,EQ,4245,4400,4584.6,4400,4584.6,4584.6,4538.06,16531,7.50186E+12,,,
23-03-2000,WIPRO,EQ,4584.6,4949,4951.4,4679.15,4951.4,4951.4,4898.82,130051,6.37097E+13,,,
24-03-2000,WIPRO,EQ,4951.4,5230,5347.55,4975,5347.55,5347.55,5226.69,144387,7.54666E+13,,,
27-03-2000,WIPRO,EQ,5347.55,5525,5775.35,5280,5775.35,5775.35,5666.58,72756,4.12278E+13,,,
28-03-2000,WIPRO,EQ,5775.35,5710,6237.4,5630.1,6190,6117.7,5912.84,127133,7.51717E+13,,,
29-03-2000,WIPRO,EQ,6117.7,6290,6607.15,6290,6607.15,6607.15,6558.12,138283,9.06877E+13,,,
30-03-2000,WIPRO,EQ,6607.15,6607.15,6607.15,6078.6,6078.6,6078.6,6120.79,66219,4.05312E+13,,,
31-03-2000,WIPRO,EQ,6078.6,5620,5940,5592.35,5592.35,5592.35,5652.4,91758,5.18653E+13,,,
03-04-2000,WIPRO,EQ,5592.35,5600,5650,5145,5145,5145,5234.44,51954,2.7195E+13,,,
04-04-2000,WIPRO,EQ,5145,4733.4,4733.4,4733.4,4733.4,4733.4,4733.4,20729,9.81186E+12,,,
05-04-2000,WIPRO,EQ,4733.4,4361,5100,4361,4848,4780.85,4712.07,93881,4.42374E+13,,,
06-04-2000,WIPRO,EQ,4780.85,4870,5160,4398.4,4950,4883.85,4688.13,119248,5.59051E+13,,,
07-04-2000,WIPRO,EQ,4883.85,5000,5274.6,5000,5274.6,5274.6,5273,36168,1.90714E+13,,,
10-04-2000,WIPRO,EQ,5274.6,5696.6,5696.6,5696.6,5696.6,5696.6,5696.6,6383,3.63614E+12,,,
11-04-2000,WIPRO,EQ,5696.6,5696.6,5924,5240.9,5560.25,5627.95,5446.52,103114,5.61612E+13,,,
12-04-2000,WIPRO,EQ,5627.95,5540,5590,5301,5410,5413.8,5452.43,55520,3.02719E+13,,,
13-04-2000,WIPRO,EQ,5413.8,5325.05,5325.05,4980.7,4980.7,4980.7,4988.65,46634,2.32641E+13,,,
17-04-2000,WIPRO,EQ,4980.7,4582.25,4582.25,4582.25,4582.25,4582.25,4582.25,1003,4.596E+11,,,
18-04-2000,WIPRO,EQ,4582.25,4582.25,4590,4215.7,4215.7,4215.7,4320.03,50976,2.20218E+13,,,
19-04-2000,WIPRO,EQ,4215.7,4540,4540,3878.45,4005,3995.6,4127.29,92012,3.7976E+13,,,
20-04-2000,WIPRO,EQ,3995.6,3700,4225,3675.95,4153.9,4095.95,3856.4,95193,3.67102E+13,,,
24-04-2000,WIPRO,EQ,4095.95,4150,4420,3911,3911,4087.95,4250.49,120700,5.13034E+13,,,
25-04-2000,WIPRO,EQ,4087.95,3900,3900,3760.95,3760.95,3760.95,3761.45,24016,9.03349E+12,,,
26-04-2000,WIPRO,EQ,3760.95,3980,4061.85,3851,3940,3995.35,3995.87,195340,7.80553E+13,,,
27-04-2000,WIPRO,EQ,3995.35,4038,4038,3675.75,3675.75,3675.75,3707.15,108336,4.01618E+13,,,
28-04-2000,WIPRO,EQ,3675.75,3461,3529,3381.7,3381.7,3381.7,3401.16,42230,1.43631E+13,,,
02-05-2000,WIPRO,EQ,3381.7,3249,3249,2975.9,2975.9,2975.9,3027.22,23382,7.07824E+12,,,
03-05-2000,WIPRO,EQ,2975.9,2737.85,2825,2618.8,2623,2639.85,2682.86,159004,4.26585E+13,,,
04-05-2000,WIPRO,EQ,2639.85,2694,2956.65,2621,2956.65,2943.3,2857.14,111159,3.17597E+13,,,
05-05-2000,WIPRO,EQ,2943.3,3050,3290,3025.1,3275,3268.35,3181.36,171283,5.44913E+13,,,
08-05-2000,WIPRO,EQ,3268.35,3399,3529,2876.15,2876.15,2878.1,3181.68,143795,4.5751E+13,,,
09-05-2000,WIPRO,EQ,2878.1,2702.2,2980,2647.85,2950.1,2945.3,2843.41,145498,4.13711E+13,,,
10-05-2000,WIPRO,EQ,2945.3,3040,3040,2795,2854,2854.9,2921.85,206886,6.04489E+13,,,
11-05-2000,WIPRO,EQ,2854.9,2750,2750,2512.35,2580,2540.4,2622.49,221589,5.81115E+13,,,
12-05-2000,WIPRO,EQ,2540.4,2599,2719,2377,2401,2427.1,2537.67,206222,5.23324E+13,,,
15-05-2000,WIPRO,EQ,2427.1,2350.05,2621.25,2135.85,2460,2460.15,2393.04,266380,6.37457E+13,,,
16-05-2000,WIPRO,EQ,2460.15,2488,2530,2400,2454.9,2440.8,2452.49,102299,2.50887E+13,,,
17-05-2000,WIPRO,EQ,2440.8,2494,2620,2300,2360,2350.1,2489.04,178143,4.43406E+13,,,
18-05-2000,WIPRO,EQ,2350.1,2301,2310,2068.1,2068.1,2068.1,2145.22,347722,7.45941E+13,,,
19-05-2000,WIPRO,EQ,2068.1,1902.65,2079,1819.95,1995,1999.65,1899.56,841651,1.59876E+14,,,
22-05-2000,WIPRO,EQ,1999.65,1921,1970,1761.1,1766,1787.1,1847.36,311929,5.76244E+13,,,
23-05-2000,WIPRO,EQ,1787.1,1760,1860,1680.25,1852,1830.05,1796.42,390814,7.02068E+13,,,
24-05-2000,WIPRO,EQ,1830.05,1789.9,1848,1711,1802,1817.05,1803.54,250215,4.51273E+13,,,
25-05-2000,WIPRO,EQ,1817.05,1850,1924.95,1782,1806,1812.6,1850.28,209540,3.87707E+13,,,
26-05-2000,WIPRO,EQ,1812.6,1799.9,1799.9,1595.1,1609,1610.7,1674.11,282196,4.72427E+13,,,
29-05-2000,WIPRO,EQ,1610.7,1580,1725,1481.85,1651,1671.4,1612.65,303977,4.90208E+13,,,
30-05-2000,WIPRO,EQ,1671.4,1699,1760,1653,1715,1722.15,1720.01,206371,3.5496E+13,,,
31-05-2000,WIPRO,EQ,1722.15,1850,1928.8,1810,1835,1867.85,1874.78,379626,7.11714E+13,,,
01-06-2000,WIPRO,EQ,1867.85,1835,1835,1740,1756,1756.7,1781.39,205611,3.66273E+13,,,
02-06-2000,WIPRO,EQ,1756.7,1805,1915,1801,1869,1889.85,1862.66,349624,6.51229E+13,,,
05-06-2000,WIPRO,EQ,1889.85,1923,2116.65,1923,2108,2061.85,2096.18,513072,1.07549E+14,,,
06-06-2000,WIPRO,EQ,2061.85,2188,2309.3,2066.65,2309.3,2296.2,2222.93,443000,9.84759E+13,,,
07-06-2000,WIPRO,EQ,2296.2,2287.9,2560,2287.9,2413,2428.75,2439.43,436810,1.06557E+14,,,
08-06-2000,WIPRO,EQ,2428.75,2449,2560,2362.5,2447,2442.5,2468.2,353002,8.7128E+13,,,
09-06-2000,WIPRO,EQ,2442.5,2498,2500,2350,2389,2395.15,2419.75,269293,6.51622E+13,,,
